Id,Contingut,Bloc,Matèria,Necessari per,Relacionat amb
F.6.9,La radioactivitat. Tipus,Bloc 6. Física del segle XX,Física,F.6.11,"F.4.10,F.6.14,F.6.2,F.6.1,F.6.13,F.6.12,F.6.3,F.6.8,F.4.11,F.4.12,F.6.16,F.6.10,F.6.5,MII.1.12"
F.6.10,El nucli atòmic. Lleis de la desintegració radioactiva,Bloc 6. Física del segle XX,Física,,"F.6.2,F.6.5,F.6.16,F.6.6,F.6.13,F.6.14,F.6.1,F.6.12,F.4.10,F.6.11,F.6.3,F.6.9,F.4.11,F.6.15,MII.1.12,MII.1.11,MII.1.3,MII.1.13,MII.1.7"
F.6.11,Fusió i fissió nuclears,Bloc 6. Física del segle XX,Física,,"F.6.15,F.6.16,F.6.3,F.4.11,F.6.13,F.6.2,F.4.10,F.6.10,F.6.4,F.6.12,F.6.5,MII.1.12"
F.6.12,Interaccions fonamentals de la naturalesa i partícules fonamentals,Bloc 6. Física del segle XX,Física,F.6.13,"F.6.15,F.6.2,F.6.1,F.4.11,F.2.6,F.6.10,F.6.14,F.6.3,F.6.9,F.3.1,F.6.8,F.6.5,F.6.4,F.6.16,F.2.4,F.6.11"
F.6.13,"Les quatre interaccions fonamentals de la naturalesa: gravitatòria, electromagnètica, nuclear forta i nuclear feble",Bloc 6. Física del segle XX,Física,,"F.4.11,F.6.16,F.3.10,F.6.10,F.2.4,F.6.5,F.6.15,F.2.1,F.6.11,F.6.9,F.6.8,F.3.1,F.3.5,F.3.3,F.6.4,F.6.3,F.2.2,F.3.7,F.6.14,MII.1.12"
F.6.14,Partícules fonamentals constitutives de l’àtom: electrons i quarks,Bloc 6. Física del segle XX,Física,F.6.11,"F.3.6,F.6.9,F.6.10,F.6.15,F.3.1,F.6.12,F.6.3,F.6.8,F.6.4,F.6.16,F.3.8,F.6.13,F.6.5,MII.1.12"
F.6.15,Història i composició de l’Univers,Bloc 6. Física del segle XX,Física,,"F.6.12,F.6.16,F.4.10,F.6.11,F.6.14,F.6.8,F.4.11,F.6.4,F.6.1,F.4.6,F.6.13,F.6.3,F.4.12,F.4.5,F.2.1,F.6.10,MII.1.12,MII.1.6"
F.6.16,Fronteres de la física,Bloc 6. Física del segle XX,Física,,"F.6.13,F.6.15,F.6.7,F.6.10,F.6.11,F.4.11,F.6.6,F.6.2,F.6.1,F.6.5,F.6.12,F.4.12,F.6.3,F.6.8,F.6.4,F.6.9,F.6.14,MII.1.6,MII.5.1,MII.1.12"
MII.1.1,Planificació del procés de resolució de problemes,"Bloc 1. Processos, mètodes i actituds en matemàtiques",Matemàtiques II,,"MII.1.7,MII.1.8,MII.1.4,MII.1.2,MII.2.1,MII.1.6,MII.3.3,MII.1.5,MII.2.3,MII.2.7,MII.1.12,MII.1.9,MII.1.3,MII.1.13,MII.1.11,MII.3.4,MII.1.10,F.5.4,F.3.4,F.4.9,F.4.5,F.6.6,F.3.8,F.5.2,F.1.1"
MII.1.2,"Estratègies i procediments posats en pràctica: relació amb altres problemes coneguts, modificació de variables, suposar el problema resolt","Bloc 1. Processos, mètodes i actituds en matemàtiques",Matemàtiques II,,"MII.1.1,MII.2.3,MII.1.7,MII.1.11,MII.1.10,MII.1.4,MII.1.8,MII.2.7,MII.1.3,MII.1.9,MII.2.4,MII.1.12,MII.3.1,MII.3.6,MII.1.13,MII.2.1,MII.1.6,MII.5.2,MII.3.3,F.1.1,F.5.2,F.5.4,F.3.4,F.2.5,F.3.8,F.4.14,F.5.3,F.4.9"
